threads,throughput,response_time,cpu_util,disk_util
0,0,0,0,0
1,4014.02,0.00048995,59.57,0.282459
2,5881.72,0.000198351,94.20,0.129344
3,6249.7,0.00352811,98.07,0.138689
4,6348.31,0.00305588,98.28,0.152787
5,6228.41,0.00463727,98.30,0.148852
6,6227.58,0.253931,98.33,0.169508
7,6238.13,0.416575,98.33,0.121475
8,6214.97,0.551192,98.30,0.133934
9,6168.9,0.799419,98.05,0.244918
10,6033.04,0.97478,97.38,0.915574
